NumCF	Lat	Lon	ColID
CF2041	39.0366	-76.8716	CF
CF2042	39.0371	-76.8685	CF
CF2043	39.0371	-76.8685	CF
CF2044	39.0371	-76.8685	CF
CF2045	39.0371	-76.8685	CF
CF2046	NA	NA	CF
CF2047	39.0317	-76.8685	CF
CF2050	38.6171	-78.7071	CF
CF2051	38.6168	-78.7068	CF
CF2052	38.6168	-78.7068	CF
CF2053	37.5415	-79.5844	CF
CF2055	38.8289	-91.0512	CF
CF2056	38.8289	-91.0512	CF
CF2057	38.8289	-91.051	CF
CF2058	38.829	-91.0507	CF
CF2059	38.829	-91.0507	CF
CF2060	36.918	-88.0998	CF
CF2061	NA	NA	CF
CF2062	36.7347	-88.0562	CF
CF2063	36.9618	-88.1584	CF
CF2064	36.3509	-82.7692	CF
CF2065	36.3509	-82.7692	CF
CF2066	36.3509	-82.7681	CF
CF2067	38.6171	-78.7071	CF
CF2068	38.6165	-78.7067	CF
CF2069	NA	NA	CF
CF2070	38.9408	-92.3248	CF
CF2073	40.2559	-88.7849	CF
CF2074	40.2559	-88.7849	CF
CF2075	40.2559	-88.7849	CF
CF2076	40.2559	-88.7849	CF
CF2077	40.2559	-88.7849	CF
CF2078	40.2559	-88.7849	CF
CF2079	39.5399	-82.576	CF
CF2080	39.5482	-82.2272	CF
CF2081	39.5482	-82.2272	CF
CF2082	39.5402	-82.5758	CF
CF2083	39.5477	-82.2274	CF
CF2084	39.5477	-82.2274	CF
CF2085	39.5477	-82.2274	CF
CF2086	39.4005	-81.6789	CF
CF2087	39.4008	-81.6785	CF
CF2089	45.5617	-73.5635	CF
CF2090	45.5617	-73.5635	CF
CF2091	45.5617	-73.5635	CF
CF2092	45.5617	-73.5635	CF
CF2093	45.5617	-73.5635	CF
CF2094	45.5617	-73.5635	CF
CF2095	45.5617	-73.5635	CF
CF2096	45.5617	-73.5635	CF
CF2097	45.5617	-73.5635	CF
CF2098	NA	NA	CF
CF2099	45.5617	-73.5635	CF
CF2100	45.5617	-73.5635	CF
CF2107	NA	NA	CF
CF2108	NA	NA	CF
CF2109	NA	NA	CF
CF2110	NA	NA	CF
CF2111	NA	NA	CF
CF2112	NA	NA	CF
CF2113	NA	NA	CF
CF2114	NA	NA	CF
CF2115	NA	NA	CF
CF2116	NA	NA	CF
CF2117	NA	NA	CF
CF2118	NA	NA	CF
CF2157	39.1087	-76.803	CF
CF2158	38.4973	-77.6047	CF
CF2159	38.4973	-77.6047	CF
CF3689	NA	NA	CF
CF4201	34.9700	-82.2539	CF
CF4202	34.9700	-82.2539	CF
CF4203	34.9700	-82.2539	CF
CF4204	34.9700	-82.2539	CF
CF4205	34.9700	-82.2539	CF
CF4206	34.9700	-82.2539	CF
CF4207	34.9700	-82.2539	CF
CF4208	34.9700	-82.2539	CF
CF4209	34.4039	-82.2370	CF
CF4210	34.4039	-82.2370	CF
CF4211	34.4039	-82.2370	CF
CF4212	34.0979	-82.3579	CF
CF4213	34.0979	-82.3579	CF
CF4214	34.0979	-82.3579	CF
CF4215	34.0966	-82.3594	CF
CF4216	34.0882	-82.3206	CF
CF4217	34.4045	-81.6553	CF
CF4218	34.4045	-81.6553	CF
CF4219	34.4045	-81.6553	CF
CF4220	34.4918	-81.6739	CF
CF4221	34.4918	-81.6739	CF
CF4222	34.4918	-81.6739	CF
CF4223	33.9010	-80.5582	CF
CF4224	33.9010	-80.5582	CF
CF4225	33.9010	-80.5582	CF
CF4226	33.8866	-80.5541	CF
CF4227	33.8610	-80.5535	CF
CF4228	33.8610	-80.5535	CF
CF4229	33.8464	-80.5560	CF
CF4230	33.8464	-80.5560	CF
CF4231	33.4930	-79.9607	CF
CF4232	33.1964	-79.6990	CF
CF4233	33.1964	-79.6990	CF
CF4234	33.1717	-79.7901	CF
CF4235	33.1539	-79.8113	CF
CF4236	33.1458	-79.8094	CF
CF4237	32.7692	-80.4516	CF
CF4238	32.7705	-80.4483	CF
CF4239	32.7705	-80.4483	CF
CF4240	32.0934	-81.2124	CF
CF4241	32.0934	-81.2124	CF
CF4242	32.0934	-81.2124	CF
CF4243	32.0934	-81.2124	CF
CF4244	32.0934	-81.2124	CF
CF4245	32.0934	-81.2124	CF
CF4246	31.9504	-81.3019	CF
CF4247	34.9296	-81.7787	CF
CF4248	34.9296	-81.7787	CF
CF4249	34.9300	-81.7779	CF
CF4250	34.9300	-81.7779	CF
CF4251	34.9300	-81.7779	CF
CF4252	34.9324	-81.7764	CF
CF4253	35.1247	-82.5742	CF
CF4254	35.1245	-82.5727	CF
CF4255	35.0738	-82.5853	CF
CF4302	34.1855	-83.1434	CF
CF4303	34.1849	-83.1439	CF
CF4304	34.1855	-83.1434	CF
CF4305	34.1849	-83.1439	CF
CF4306	33.1860	-83.5254	CF
CF4307	33.1860	-83.5254	CF
CF4308	33.1860	-83.5254	CF
CF4309	33.1860	-83.5254	CF
CF4310	33.1860	-83.5254	CF
CF4311	33.1354	-83.6059	CF
CF4312	32.4788	-85.5648	CF
CF4313	32.4788	-85.5648	CF
CF4314	32.4793	-85.5665	CF
CF4315	32.4793	-85.5665	CF
CF4316	32.4793	-85.5665	CF
CF4317	32.4024	-85.9517	CF
CF4318	32.4024	-85.9517	CF
CF4319	32.4024	-85.9517	CF
CF4320	32.8092	-87.0246	CF
CF4321	32.8092	-87.0246	CF
CF4322	32.8092	-87.0246	CF
CF4323	32.8092	-87.0246	CF
CF4324	32.9101	-87.0297	CF
CF4325	32.9101	-87.0297	CF
CF4326	32.9101	-87.0297	CF
CF4327	32.9101	-87.0297	CF
CF4328	32.9101	-87.0297	CF
CF4329	32.9214	-87.3961	CF
CF4330	32.9214	-87.3961	CF
CF4331	32.9214	-87.3961	CF
CF4332	32.9214	-87.3961	CF
CF4333	32.9214	-87.3961	CF
CF4334	32.9214	-87.3961	CF
CF4335	32.9210	-87.3946	CF
CF4336	32.9210	-87.3946	CF
CF4337	32.9210	-87.3946	CF
CF4338	32.9210	-87.3946	CF
CF4339	32.9210	-87.3946	CF
CF4340	32.8855	-87.4450	CF
CF4341	32.8855	-87.4450	CF
